step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse
0,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,,,,,,
1,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,
2,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,,,,,,
3,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,,,,,,
4,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,
5,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,D,D,C,1.0,3.6667,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,
6,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,,,,,,
7,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,D,D,D,1.0,1.0,1.0,1.0,4.0,0,0.0,0.0,,,,,,,,
8,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,,,,,,
9,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,
10,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,D,D,C,1.0,3.6667,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,
11,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,
12,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,,,,,,
13,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,
14,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,C,D,D,C,1.0,3.6667,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,
15,pd_N4,matrix,4,empathy,0.2,,,0.2,0.2,0.2,0.2,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,,,,,,
