step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,alpha_mean,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
0,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,,,,,,,
1,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,C,2.0,2.0,5.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
2,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,D,C,D,1.0,3.6667,1.0,3.6667,9.3333,0,0.5,1.777778,,,,,,,,,
3,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,C,2.0,2.0,5.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
4,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,,,,,,,
5,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,C,2.0,2.0,5.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
6,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,,,,,,,
7,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,D,D,C,1.0,3.6667,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,,
8,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,,
9,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,,
10,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
11,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,,,,,,,
12,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,C,2.0,2.0,5.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
13,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,,,,,,,
14,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,D,C,C,2.0,5.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
15,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,D,D,D,0.0,2.3333,2.3333,2.3333,7.0,0,0.25,1.020833,,,,,,,,,
16,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,D,C,C,2.0,5.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
17,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,,,,,,,
18,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,,,,,,,
19,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,C,2.0,2.0,5.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
20,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,,,,,,,
21,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,,
22,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
23,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,D,C,C,3.6667,3.6667,1.0,1.0,9.3333,0,0.5,1.777778,,,,,,,,,
24,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,,,,,,,
25,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,,,,,,,
26,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,,,,,,,
27,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,,,,,,,
28,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,,,,,,,
29,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,C,D,C,2.0,2.0,5.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
30,pd_N4,matrix,4,learn_alpha,1.0,,team,0.8,0.5,0.8,1.0,0.775,C,D,C,C,2.0,5.0,2.0,2.0,11.0,0,0.75,1.6875,,,,,,,,,
